video_file,video_path,shot_num,start_timecode,end_timecode,duration_sec,blur_score,face_score,motion_score
asconvpt.mp4,/kaggle/input/short-clips/dataset1/asconvpt.mp4,0,00:00:00.000,00:00:20.760,20.76,64.16177433889412,3364,0.096856296
asconvpt.mp4,/kaggle/input/short-clips/dataset1/asconvpt.mp4,1,00:00:20.760,00:00:59.300,38.54,89.1374381395022,0,0.422891
asconvpt.mp4,/kaggle/input/short-clips/dataset1/asconvpt.mp4,2,00:00:59.300,00:01:00.940,1.64,84.50843731722891,54440,0.17970423
asconvpt.mp4,/kaggle/input/short-clips/dataset1/asconvpt.mp4,3,00:01:00.940,00:01:01.880,0.94,202.18417623171283,56277,0.08914473
blostjdq.mp4,/kaggle/input/short-clips/dataset1/blostjdq.mp4,0,00:00:00.000,00:00:03.620,3.62,146.57205829026842,46034,0.023639506
blostjdq.mp4,/kaggle/input/short-clips/dataset1/blostjdq.mp4,1,00:00:03.620,00:00:15.160,11.54,14.32414046207004,24336,1.4165471
blostjdq.mp4,/kaggle/input/short-clips/dataset1/blostjdq.mp4,2,00:00:15.160,00:00:21.080,5.92,184.9541931455213,22201,0.019637087
blostjdq.mp4,/kaggle/input/short-clips/dataset1/blostjdq.mp4,3,00:00:21.080,00:00:29.920,8.84,27.89302280776293,91205,0.008348527
blostjdq.mp4,/kaggle/input/short-clips/dataset1/blostjdq.mp4,4,00:00:29.920,00:00:34.900,4.98,358.4023794506203,0,0.048202712
blostjdq.mp4,/kaggle/input/short-clips/dataset1/blostjdq.mp4,5,00:00:34.900,00:00:35.700,0.8,473.64537984117925,70913,0.076250896
chqblpze.mp4,/kaggle/input/short-clips/dataset1/chqblpze.mp4,0,00:00:00.000,00:01:03.920,63.92,86.85890513364888,5834,1.9133209
chqblpze.mp4,/kaggle/input/short-clips/dataset1/chqblpze.mp4,1,00:01:03.920,00:01:06.820,2.9,530.9292030857746,0,1.5090269
chqblpze.mp4,/kaggle/input/short-clips/dataset1/chqblpze.mp4,2,00:01:06.820,00:01:09.120,2.3,387.0174818695621,7744,1.7473578
chqblpze.mp4,/kaggle/input/short-clips/dataset1/chqblpze.mp4,3,00:01:09.120,00:01:19.080,9.96,174.79378278048364,39873,0.69643074
chqblpze.mp4,/kaggle/input/short-clips/dataset1/chqblpze.mp4,4,00:01:19.080,00:01:23.600,4.52,262.6075301878707,60373,0.23458295
chqblpze.mp4,/kaggle/input/short-clips/dataset1/chqblpze.mp4,5,00:01:23.600,00:01:28.300,4.7,264.13493614590493,64408,0.11580265
chqblpze.mp4,/kaggle/input/short-clips/dataset1/chqblpze.mp4,6,00:01:28.300,00:01:59.640,31.34,83.40040954589847,79979,1.3243549
chqblpze.mp4,/kaggle/input/short-clips/dataset1/chqblpze.mp4,7,00:01:59.640,00:02:05.460,5.82,297.65470514420406,73496,0.15130973
chqblpze.mp4,/kaggle/input/short-clips/dataset1/chqblpze.mp4,8,00:02:05.460,00:02:06.720,1.26,292.29442060998514,71267,0.15517513
chqblpze.mp4,/kaggle/input/short-clips/dataset1/chqblpze.mp4,9,00:02:06.720,00:02:10.000,3.28,323.86975101397366,11841,0.9011828
chqblpze.mp4,/kaggle/input/short-clips/dataset1/chqblpze.mp4,10,00:02:10.000,00:02:13.160,3.16,243.28702457840063,11047,0.69076425
chqblpze.mp4,/kaggle/input/short-clips/dataset1/chqblpze.mp4,11,00:02:13.160,00:02:15.360,2.2,293.6672340484608,48624,0.43803445
chqblpze.mp4,/kaggle/input/short-clips/dataset1/chqblpze.mp4,12,00:02:15.360,00:02:48.680,33.32,230.770241968102,21082,0.8417781
kjhjjxni.mp4,/kaggle/input/short-clips/dataset1/kjhjjxni.mp4,0,00:00:00.000,00:00:03.040,3.04,364.1205449252082,11713,0.82431966
kjhjjxni.mp4,/kaggle/input/short-clips/dataset1/kjhjjxni.mp4,1,00:00:03.040,00:00:05.480,2.44,957.5186744093138,12968,1.1870493
kjhjjxni.mp4,/kaggle/input/short-clips/dataset1/kjhjjxni.mp4,2,00:00:05.480,00:00:07.620,2.14,426.77527231719307,28889,1.5539669
